State ,AdultObesity rate 
Arkansas,35.9
West Virginia ,35.7
Mississippi,35.5
Louisiana,34.9
Aabama,33.5
Oklahoma,33
Indiana ,32.7
Ohio,32.6
North Dakota,32.2
South Carolina ,32.1
Texas,31.9
Kentucky ,31.6
Kansas ,31.3
Wisconsin,31.2
Tennessee,31.2
Iowa,30.9
Michigan,30.7
Delaware,30.7
Georgia,30.5
Pennsylvania,30.2
Nebraska,30.2
Mississippi,30.2
South Dakota,29.8
North Carolina,29.7
Alaska ,29.7
Maryland,29.6
Wyoming ,29.5
Illinois,29.3
Idaho ,28.9
Arizona,28.9
Virginia ,28.5
New Mexico ,28.4
Maine,28.2
Oregon,27.9
Nevada,27.7
Minnesota ,27.6
New Hampshire,27.4
Washington ,27.3
Rhode Island ,27
New York ,27
New Jersey ,26.9
Montana,26.4
Connecticut ,26.3
Florida ,26.2
Utah ,25.7
Vermont,24.8
California,24.7
Massachusetts,23.3
Hawaii,22.1
District of Columbia,21.7
Colorado,21.3
